Kategoria: Wszystko

Tydzień,bitcoin: (Cały świat)
2016-11-13,12
2016-11-20,11
2016-11-27,12
2016-12-04,12
2016-12-11,11
2016-12-18,15
2016-12-25,17
2017-01-01,26
2017-01-08,20
2017-01-15,15
2017-01-22,14
2017-01-29,15
2017-02-05,16
2017-02-12,15
2017-02-19,18
2017-02-26,21
2017-03-05,23
2017-03-12,20
2017-03-19,20
2017-03-26,17
2017-04-02,17
2017-04-09,17
2017-04-16,16
2017-04-23,18
2017-04-30,25
2017-05-07,34
2017-05-14,40
2017-05-21,68
2017-05-28,44
2017-06-04,44
2017-06-11,47
2017-06-18,39
2017-06-25,39
2017-07-02,32
2017-07-09,37
2017-07-16,42
2017-07-23,39
2017-07-30,54
2017-08-06,52
2017-08-13,72
2017-08-20,58
2017-08-27,61
2017-09-03,64
2017-09-10,76
2017-09-17,56
2017-09-24,45
2017-10-01,45
2017-10-08,67
2017-10-15,71
2017-10-22,74
2017-10-29,99
2017-11-05,100
