Kategoria: Wszystko

Tydzień,litecoin: (Cały świat)
2016-11-13,3
2016-11-20,3
2016-11-27,3
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,5
2017-01-01,6
2017-01-08,5
2017-01-15,5
2017-01-22,4
2017-01-29,5
2017-02-05,4
2017-02-12,4
2017-02-19,4
2017-02-26,5
2017-03-05,5
2017-03-12,6
2017-03-19,6
2017-03-26,10
2017-04-02,17
2017-04-09,16
2017-04-16,14
2017-04-23,16
2017-04-30,30
2017-05-07,39
2017-05-14,27
2017-05-21,45
2017-05-28,30
2017-06-04,78
2017-06-11,73
2017-06-18,64
2017-06-25,39
2017-07-02,51
2017-07-09,42
2017-07-16,39
2017-07-23,31
2017-07-30,33
2017-08-06,37
2017-08-13,40
2017-08-20,45
2017-08-27,100
2017-09-03,69
2017-09-10,54
2017-09-17,40
2017-09-24,32
2017-10-01,29
2017-10-08,43
2017-10-15,48
2017-10-22,41
2017-10-29,50
2017-11-05,70
